season,round,position,position_text,classification,status,points,grid,laps
2000,1,1,1,classified,Finished,10,3,58
2000,1,2,2,classified,Finished,6,4,58
2000,1,3,3,classified,Finished,4,11,58
2000,1,4,4,classified,Finished,3,8,58
2000,1,5,5,classified,Finished,2,9,58
2000,1,6,6,classified,Finished,1,16,58
2000,1,7,7,classified,Finished,0,14,58
2000,1,8,8,classified,+1 Lap,0,18,57
2000,1,9,9,classified,+2 Laps,0,15,56
2000,1,10,D,disqualified,Disqualified,0,10,58
2000,1,11,R,retired,Engine,0,21,46
2000,1,12,R,retired,Transmission,0,19,41
2000,1,13,R,retired,Gearbox,0,22,40
2000,1,14,R,retired,Hydraulics,0,5,39
2000,1,15,R,retired,Engine,0,6,35
2000,1,16,R,retired,Hydraulics,0,17,27
2000,1,17,R,retired,Engine,0,1,18
2000,1,18,R,retired,Suspension,0,13,16
2000,1,19,R,retired,Engine,0,2,11
2000,1,20,R,retired,Suspension,0,12,6
2000,1,21,R,retired,Spun off,0,7,6
2000,1,22,R,retired,Clutch,0,20,1
2000,2,1,1,classified,Finished,10,3,71
2000,2,2,2,classified,Finished,6,5,71
2000,2,3,3,classified,Finished,4,7,71
2000,2,4,4,classified,Finished,3,12,71
2000,2,5,5,classified,+1 Lap,2,11,70
2000,2,6,6,classified,+1 Lap,1,9,70
2000,2,7,7,classified,+1 Lap,0,14,70
2000,2,8,8,classified,+1 Lap,0,16,70
2000,2,9,9,classified,+2 Laps,0,8,69
2000,2,10,10,classified,+2 Laps,0,20,69
2000,2,11,D,disqualified,Disqualified,0,2,71
2000,2,12,R,retired,Gearbox,0,17,51
2000,2,13,R,retired,Engine,0,18,31
2000,2,14,R,retired,Oil pressure,0,1,30
2000,2,15,R,retired,Hydraulics,0,4,27
2000,2,16,R,retired,Spun off,0,6,20
2000,2,17,R,retired,Gearbox,0,10,16
2000,2,18,R,retired,Electrical,0,15,11
2000,2,19,R,retired,Engine,0,19,9
2000,2,20,R,retired,Engine,0,13,6
2000,2,21,W,withdrawn,Safety concerns,0,0,0
2000,2,22,W,withdrawn,Safety concerns,0,0,0
2000,3,1,1,classified,Finished,10,2,62
2000,3,2,2,classified,Finished,6,1,62
2000,3,3,3,classified,Finished,4,3,62
2000,3,4,4,classified,Finished,3,4,62
2000,3,5,5,classified,+1 Lap,2,9,61
2000,3,6,6,classified,+1 Lap,1,12,61
2000,3,7,7,classified,+1 Lap,0,7,61
2000,3,8,8,classified,+1 Lap,0,10,61
2000,3,9,9,classified,+1 Lap,0,11,61
2000,3,10,10,classified,+1 Lap,0,17,61
2000,3,11,11,classified,+1 Lap,0,19,61
2000,3,12,12,classified,+1 Lap,0,14,61
2000,3,13,13,classified,+2 Laps,0,20,60
2000,3,14,14,classified,+3 Laps,0,16,59
2000,3,15,15,classified,Gearbox,0,8,58
2000,3,16,R,retired,Spun off,0,13,49
2000,3,17,R,retired,Fuel system,0,5,45
2000,3,18,R,retired,Hydraulics,0,15,25
2000,3,19,R,retired,Hydraulics,0,22,22
2000,3,20,R,retired,Engine,0,18,5
2000,3,21,R,retired,Spun off,0,21,5
2000,3,22,R,retired,Gearbox,0,6,4
2000,4,1,1,classified,Finished,10,4,60
2000,4,2,2,classified,Finished,6,3,60
2000,4,3,3,classified,Finished,4,5,60
2000,4,4,4,classified,Finished,3,7,60
2000,4,5,5,classified,Finished,2,6,60
2000,4,6,6,classified,Finished,1,11,60
2000,4,7,7,classified,+1 Lap,0,12,59
2000,4,8,8,classified,+1 Lap,0,18,59
2000,4,9,9,classified,+1 Lap,0,20,59
2000,4,10,10,classified,+1 Lap,0,15,59
2000,4,11,11,classified,+1 Lap,0,13,59
2000,4,12,12,classified,+1 Lap,0,14,59
2000,4,13,13,classified,+1 Lap,0,9,59
2000,4,14,14,classified,+1 Lap,0,21,59
2000,4,15,15,classified,+1 Lap,0,22,59
2000,4,16,16,classified,+4 Laps,0,10,56
2000,4,17,17,classified,+6 Laps,0,2,54
2000,4,18,R,retired,Engine,0,17,51
2000,4,19,R,retired,Spun off,0,16,36
2000,4,20,R,retired,Hydraulics,0,1,35
2000,4,21,R,retired,Electrical,0,19,26
2000,4,22,R,retired,Electrical,0,8,20
2000,5,1,1,classified,Finished,10,2,65
2000,5,2,2,classified,Finished,6,4,65
2000,5,3,3,classified,Finished,4,3,65
2000,5,4,4,classified,Finished,3,5,65
2000,5,5,5,classified,Finished,2,1,65
2000,5,6,6,classified,Finished,1,8,65
2000,5,7,7,classified,+1 Lap,0,12,64
2000,5,8,8,classified,+1 Lap,0,16,64
2000,5,9,9,classified,+1 Lap,0,13,64
2000,5,10,10,classified,+1 Lap,0,18,64
2000,5,11,11,classified,+1 Lap,0,9,64
2000,5,12,12,classified,+1 Lap,0,7,64
2000,5,13,13,classified,+1 Lap,0,14,64
2000,5,14,14,classified,+2 Laps,0,20,63
2000,5,15,15,classified,+2 Laps,0,21,63
2000,5,16,16,classified,+3 Laps,0,19,62
2000,5,17,17,classified,Engine,0,10,61
2000,5,18,R,retired,Gearbox,0,11,25
2000,5,19,R,retired,Hydraulics,0,6,21
2000,5,20,R,retired,Collision,0,17,1
2000,5,21,R,retired,Collision,0,22,1
2000,5,22,R,retired,Spun off,0,15,0
2000,6,1,1,classified,Finished,10,2,67
2000,6,2,2,classified,Finished,6,3,67
2000,6,3,3,classified,+1 Lap,4,1,66
2000,6,4,4,classified,+1 Lap,3,4,66
2000,6,5,5,classified,+1 Lap,2,7,66
2000,6,6,6,classified,+1 Lap,1,12,66
2000,6,7,7,classified,+2 Laps,0,15,65
2000,6,8,8,classified,+2 Laps,0,21,65
2000,6,9,9,classified,+2 Laps,0,17,65
2000,6,10,10,classified,Electrical,0,11,62
2000,6,11,11,classified,Collision,0,16,61
2000,6,12,12,classified,Collision,0,14,61
2000,6,13,R,retired,Spun off,0,18,51
2000,6,14,R,retired,Throttle,0,20,47
2000,6,15,R,retired,Engine,0,9,46
2000,6,16,R,retired,Collision,0,8,29
2000,6,17,R,retired,Spun off,0,13,29
2000,6,18,R,retired,Collision,0,5,29
2000,6,19,R,retired,Halfshaft,0,19,27
2000,6,20,R,retired,Engine,0,10,2
2000,6,21,R,retired,Collision,0,6,0
2000,7,1,1,classified,Finished,10,3,78
2000,7,2,2,classified,Finished,6,6,78
2000,7,3,3,classified,Finished,4,8,78
2000,7,4,4,classified,Finished,3,10,78
2000,7,5,5,classified,Finished,2,13,78
2000,7,6,6,classified,+1 Lap,1,5,77
2000,7,7,7,classified,+1 Lap,0,17,77
2000,7,8,8,classified,+1 Lap,0,18,77
2000,7,9,9,classified,+2 Laps,0,11,76
2000,7,10,10,classified,Spun off,0,4,70
2000,7,11,R,retired,Spun off,0,15,60
2000,7,12,R,retired,Suspension,0,1,55
2000,7,13,R,retired,Spun off,0,20,48
2000,7,14,R,retired,Spun off,0,9,37
2000,7,15,R,retired,Gearbox,0,2,36
2000,7,16,R,retired,Spun off,0,19,30
2000,7,17,R,retired,Transmission,0,7,29
2000,7,18,R,retired,Spun off,0,22,22
2000,7,19,R,retired,Gearbox,0,21,21
2000,7,20,R,retired,Spun off,0,12,18
2000,7,21,R,retired,Engine,0,14,16
2000,7,22,W,withdrawn,Not restarted,0,16,0
2000,8,1,1,classified,Finished,10,1,69
2000,8,2,2,classified,Finished,6,3,69
2000,8,3,3,classified,Finished,4,10,69
2000,8,4,4,classified,Finished,3,4,69
2000,8,5,5,classified,Finished,2,13,69
2000,8,6,6,classified,Finished,1,7,69
2000,8,7,7,classified,Finished,0,2,69
2000,8,8,8,classified,Finished,0,8,69
2000,8,9,9,classified,Finished,0,14,69
2000,8,10,10,classified,Finished,0,19,69
2000,8,11,11,classified,+1 Lap,0,18,68
2000,8,12,12,classified,+1 Lap,0,22,68
2000,8,13,13,classified,+3 Laps,0,16,66
2000,8,14,14,classified,Collision,0,12,64
2000,8,15,15,classified,Collision,0,6,64
2000,8,16,16,classified,Spun off,0,20,64
2000,8,17,R,retired,Collision,0,9,48
2000,8,18,R,retired,Electrical,0,15,42
2000,8,19,R,retired,Electrical,0,17,38
2000,8,20,R,retired,Engine,0,21,34
2000,8,21,R,retired,Brakes,0,5,32
2000,8,22,R,retired,Gearbox,0,11,14
2000,9,1,1,classified,Finished,10,2,72
2000,9,2,2,classified,Finished,6,4,72
2000,9,3,3,classified,Finished,4,3,72
2000,9,4,4,classified,Finished,3,7,72
2000,9,5,5,classified,Finished,2,5,72
2000,9,6,6,classified,Finished,1,9,72
2000,9,7,7,classified,+1 Lap,0,8,71
2000,9,8,8,classified,+1 Lap,0,10,71
2000,9,9,9,classified,+1 Lap,0,14,71
2000,9,10,10,classified,+1 Lap,0,12,71
2000,9,11,11,classified,+1 Lap,0,15,71
2000,9,12,12,classified,+1 Lap,0,16,71
2000,9,13,13,classified,+2 Laps,0,6,70
2000,9,14,14,classified,+2 Laps,0,18,70
2000,9,15,15,classified,+2 Laps,0,21,70
2000,9,16,R,retired,Engine,0,1,58
2000,9,17,R,retired,Transmission,0,13,45
2000,9,18,R,retired,Spun off,0,17,34
2000,9,19,R,retired,Spun off,0,22,31
2000,9,20,R,retired,Transmission,0,20,25
2000,9,21,R,retired,Gearbox,0,11,20
2000,9,22,R,retired,Spun off,0,19,16
2000,10,1,1,classified,Finished,10,1,71
2000,10,2,2,classified,Finished,6,2,71
2000,10,3,3,classified,Finished,4,3,71
2000,10,4,4,classified,+1 Lap,3,7,70
2000,10,5,5,classified,+1 Lap,2,18,70
2000,10,6,6,classified,+1 Lap,1,9,70
2000,10,7,7,classified,+1 Lap,0,16,70
2000,10,8,8,classified,+1 Lap,0,20,70
2000,10,9,9,classified,+1 Lap,0,11,70
2000,10,10,10,classified,+1 Lap,0,14,70
2000,10,11,11,classified,+2 Laps,0,21,69
2000,10,12,12,classified,+3 Laps,0,22,68
2000,10,13,R,retired,Engine,0,6,58
2000,10,14,R,retired,Brakes,0,19,52
2000,10,15,R,retired,Collision,0,13,41
2000,10,16,R,retired,Collision,0,17,41
2000,10,17,R,retired,Gearbox,0,12,32
2000,10,18,R,retired,Engine,0,10,14
2000,10,19,R,retired,Oil leak,0,15,4
2000,10,20,R,retired,Collision,0,4,0
2000,10,21,R,retired,Collision,0,5,0
2000,10,22,R,retired,Collision,0,8,0
2000,11,1,1,classified,Finished,10,18,45
2000,11,2,2,classified,Finished,6,4,45
2000,11,3,3,classified,Finished,4,1,45
2000,11,4,4,classified,Finished,3,16,45
2000,11,5,5,classified,Finished,2,15,45
2000,11,6,6,classified,Finished,1,5,45
2000,11,7,7,classified,Finished,0,14,45
2000,11,8,8,classified,Finished,0,9,45
2000,11,9,9,classified,Finished,0,6,45
2000,11,10,10,classified,Finished,0,10,45
2000,11,11,11,classified,Finished,0,21,45
2000,11,12,12,classified,Alternator,0,13,40
2000,11,13,R,retired,Gearbox,0,17,39
2000,11,14,R,retired,Spun off,0,11,39
2000,11,15,R,retired,Spun off,0,12,37
2000,11,16,R,retired,Engine,0,22,33
2000,11,17,R,retired,Electrical,0,7,31
2000,11,18,R,retired,Collision,0,19,29
2000,11,19,R,retired,Collision,0,20,29
2000,11,20,R,retired,Gearbox,0,8,12
2000,11,21,R,retired,Collision,0,2,0
2000,11,22,R,retired,Collision,0,3,0
2000,12,1,1,classified,Finished,10,3,77
2000,12,2,2,classified,Finished,6,1,77
2000,12,3,3,classified,Finished,4,2,77
2000,12,4,4,classified,Finished,3,5,77
2000,12,5,5,classified,Finished,2,4,77
2000,12,6,6,classified,Finished,1,6,77
2000,12,7,7,classified,+1 Lap,0,12,76
2000,12,8,8,classified,+1 Lap,0,10,76
2000,12,9,9,classified,+1 Lap,0,8,76
2000,12,10,10,classified,+1 Lap,0,9,76
2000,12,11,11,classified,+1 Lap,0,11,76
2000,12,12,12,classified,+2 Laps,0,16,75
2000,12,13,13,classified,+2 Laps,0,20,75
2000,12,14,14,classified,+2 Laps,0,18,75
2000,12,15,15,classified,+3 Laps,0,21,74
2000,12,16,16,classified,+4 Laps,0,15,73
2000,12,17,R,retired,Engine,0,22,68
2000,12,18,R,retired,Gearbox,0,17,67
2000,12,19,R,retired,Transmission,0,13,62
2000,12,20,R,retired,Brakes,0,7,31
2000,12,21,R,retired,Electrical,0,19,22
2000,12,22,R,retired,Suspension,0,14,11
2000,13,1,1,classified,Finished,10,1,44
2000,13,2,2,classified,Finished,6,4,44
2000,13,3,3,classified,Finished,4,6,44
2000,13,4,4,classified,Finished,3,5,44
2000,13,5,5,classified,Finished,2,3,44
2000,13,6,6,classified,Finished,1,8,44
2000,13,7,7,classified,Finished,0,7,44
2000,13,8,8,classified,Finished,0,9,44
2000,13,9,9,classified,Finished,0,18,44
2000,13,10,10,classified,Finished,0,12,44
2000,13,11,11,classified,Finished,0,15,44
2000,13,12,12,classified,+1 Lap,0,13,43
2000,13,13,13,classified,+1 Lap,0,19,43
2000,13,14,14,classified,+1 Lap,0,21,43
